KRAJ;OKRES;CPOU;ORP;OBEC;NAZEVOBCE;MINOKRSEK1;MAXOKRSEK1;OBEC_PREZ
7200;7204;662;7213;500011;?elechovice nad D?evnic¡;1;3;500011
7100;7105;860;7111;500020;Petrov nad Desnou;1;2;500020
8100;8104;792;8115;500046;Libho??;1;1;500046
1100;1100;1;1000;500054;Praha 1;1001;1021;554782
7200;7203;871;7210;500062;Krhov ;1;1;500062
7200;7203;871;7210;500071;Poli?n ;1;1;500071
1100;1100;2;1000;500089;Praha 2;2001;2045;554782
1100;1100;3;1000;500097;Praha 3;3001;3051;554782
4100;4102;308;4103;500101;Bra?ec;1;1;500101
1100;1100;4;1000;500119;Praha 4;4001;4132;554782
4100;4102;310;4106;500127;Doupovsk‚ Hradi?t?;1;1;500127
7100;7102;803;7107;500135;Kozlov;1;2;500135
1100;1100;11;1000;500143;Praha 5;5001;5081;554782
7100;7104;848;7101;500151;Lubom?? pod Str ?nou;1;1;500151
7100;7102;804;7110;500160;M?sto Libav ;1;2;500160
1100;1100;21;1000;500178;Praha 6;6001;6104;554782
1100;1100;27;1000;500186;Praha 7;7001;7036;554782
3100;3102;225;3103;500194;Poln  na ?umav?;1;1;500194
1100;1100;29;1000;500208;Praha 8;8001;8108;554782
1100;1100;33;1000;500216;Praha 9;9001;9041;554782
1100;1100;46;1000;500224;Praha 10;10001;10109;554782
8100;8104;789;8105;500259;Ve?ovice;1;1;500259
8100;8106;844;8119;500291;V?esina;1;3;500291
7100;7102;803;7107;500496;Olomouc;1;95;500496
7100;7102;803;7107;500526;B?lkovice-La??any;1;1;500526
7100;7102;802;7105;500623;B¡l  Lhota;1;7;500623
7100;7102;803;7107;500801;Blatec;1;1;500801
7100;7102;803;7107;500852;Bohu?ovice;1;1;500852
7100;7102;802;7105;500861;Bouzov;1;9;500861
7100;7102;803;7107;500879;Bystro?ice;1;1;500879
4200;4207;462;4214;501298;?st¡ nad Labem-Severn¡ Terasa;3001;3020;554804
7100;7102;805;7112;501476;Dlouh  Lou?ka;1;3;501476
7100;7102;803;7107;501646;Dolany;1;3;501646
7100;7102;803;7107;501751;Drahanovice;1;4;501751
7100;7102;803;7107;501794;Dub nad Moravou;1;1;501794
7100;7102;803;7107;501841;Grygov;1;1;501841
4200;4207;462;4214;502081;?st¡ nad Labem-Ne?t?mice;2001;2021;554804
7100;7102;801;7107;502146;Hlubo?ky;1;4;502146
7100;7102;803;7107;502235;Hn?vot¡n;1;1;502235
4200;4207;462;4214;502316;?st¡ nad Labem-St?ekov;4001;4017;554804
7100;7102;804;7110;502405;Hnojice;1;1;502405
7100;7102;803;7107;502545;Horka nad Moravou;1;2;502545
7100;7102;802;7105;502839;Cholina;1;1;502839
7100;7102;804;7110;503142;J¡vov ;1;1;503142
7100;7102;803;7107;503304;Ko?u?any-T ?aly;1;1;503304
2100;2108;167;2118;503410;?itovlice;1;1;503410
7100;7102;802;7105;503444;Litovel;1;17;503444
7100;7102;802;7105;503622;Luk ;1;4;503622
7100;7102;803;7107;503657;Lut¡n;1;4;503657
7100;7102;803;7107;503738;Majet¡n;1;1;503738
3200;3207;381;3213;503916;Kostelec;1;1;503916
